,userid,lag_days,correlation,metric
19,1200074200358264832,28,0.7682453681598961,walking_steadiness
30,1200817269497671680,0,0.847876818905947,walking_steadiness
31,1200817269497671680,7,0.7183066998640177,walking_steadiness
45,1202538688724086784,0,0.8170072907135888,walking_steadiness
70,1204955032839462912,0,0.8684079431441539,walking_steadiness
71,1204955032839462912,7,0.8087495824143218,walking_steadiness
72,1204955032839462912,14,0.7556200939752233,walking_steadiness
103,1206552050020065280,21,0.820131242893995,walking_steadiness
104,1206552050020065280,28,0.9162614872060901,walking_steadiness
105,1207005426345848832,0,0.6999289445270457,walking_steadiness
106,1207005426345848832,7,0.6414386694732352,walking_steadiness
110,1207326598656700416,0,0.7829184180438447,walking_steadiness
111,1207326598656700416,7,0.9133592059270629,walking_steadiness
121,1207428963799937024,7,0.606325169775484,walking_steadiness
125,1209054619317510144,0,0.629850448681471,walking_steadiness
127,1209054619317510144,14,0.620235501939036,walking_steadiness
142,1213495788215894016,14,0.6526909608778156,walking_steadiness
145,1213552453597499392,0,0.8682528475523021,walking_steadiness
150,1215320517226692608,0,0.8602529016744915,walking_steadiness
151,1215320517226692608,7,0.936767284875368,walking_steadiness
152,1215320517226692608,14,0.9532306259966914,walking_steadiness
153,1215320517226692608,21,0.9381202697076549,walking_steadiness
154,1215320517226692608,28,0.7691894048485886,walking_steadiness
159,1215604526359937024,28,0.7461746057551257,walking_steadiness
163,1215866445171949568,21,0.7318108689352705,walking_steadiness
164,1215866445171949568,28,0.9082806225019293,walking_steadiness
165,1217113854211493888,0,0.8894823660054572,walking_steadiness
176,1217553861704318976,7,0.6784896132141081,walking_steadiness
180,1217567720510033920,0,0.7627119267296875,walking_steadiness
181,1217567720510033920,7,0.7720244716099334,walking_steadiness
182,1217567720510033920,14,0.8991829572309304,walking_steadiness
183,1217567720510033920,21,0.9284918880681646,walking_steadiness
184,1217567720510033920,28,0.8664509874809009,walking_steadiness
188,1218500358268682240,21,0.7245189928820753,walking_steadiness
193,1219213321102397440,21,0.7677652047662559,walking_steadiness
194,1219213321102397440,28,0.8643075389597665,walking_steadiness
195,1220075038721081344,0,0.9251370670715344,walking_steadiness
196,1220075038721081344,7,0.6769136972997476,walking_steadiness
205,1220647683502927872,0,0.7797370735739603,walking_steadiness
206,1220647683502927872,7,0.9146005708126717,walking_steadiness
207,1220647683502927872,14,0.6535383296364341,walking_steadiness
220,1222271249739489280,0,0.9181850209422701,walking_steadiness
221,1222271249739489280,7,0.7750345787947753,walking_steadiness
222,1222271249739489280,14,0.6373651084610461,walking_steadiness
230,1222826978432393216,0,0.8009513069885528,walking_steadiness
247,1225417403794071552,14,0.7028679523528797,walking_steadiness
255,1225766754649972736,0,0.682984501068695,walking_steadiness
256,1225766754649972736,7,0.6142921993978815,walking_steadiness
257,1225766754649972736,14,0.7659210759074498,walking_steadiness
258,1225766754649972736,21,0.6516007742133723,walking_steadiness
261,1226471208156209152,7,0.7160506692159682,walking_steadiness
275,1226822249919160320,0,0.7845711096461053,walking_steadiness
296,1227601813916950528,7,0.8435121355659546,walking_steadiness
297,1227601813916950528,14,0.7872417042380205,walking_steadiness
310,1228016946347909120,0,0.8248972690492237,walking_steadiness
344,1200788781025734656,28,0.6066455119946923,walking_double_support_percentage_min
353,1201607725481926656,21,0.772946271333121,walking_double_support_percentage_min
354,1201607725481926656,28,0.7629215537509494,walking_double_support_percentage_min
364,1202538688724086784,28,0.6320648643104679,walking_double_support_percentage_min
369,1202702106557358080,28,0.6589801165897609,walking_double_support_percentage_min
373,1203048243023327232,21,0.6674635342513751,walking_double_support_percentage_min
382,1204157949995851776,14,0.6126479365612585,walking_double_support_percentage_min
390,1205233118415888384,0,0.8150973019278386,walking_double_support_percentage_min
391,1205233118415888384,7,0.7324544807569191,walking_double_support_percentage_min
400,1205699344464289792,0,0.6702449228021822,walking_double_support_percentage_min
401,1205699344464289792,7,0.7050440472409862,walking_double_support_percentage_min
428,1207326598656700416,21,0.6382766752419119,walking_double_support_percentage_min
429,1207326598656700416,28,0.820717363651503,walking_double_support_percentage_min
458,1213495788215894016,21,0.6703397446781967,walking_double_support_percentage_min
459,1213495788215894016,28,0.8256710967529877,walking_double_support_percentage_min
469,1215320517226692608,28,0.769551878897522,walking_double_support_percentage_min
484,1217113854211493888,28,0.60184051192766,walking_double_support_percentage_min
492,1217553861704318976,14,0.6985971589036774,walking_double_support_percentage_min
493,1217553861704318976,21,0.7304224045605853,walking_double_support_percentage_min
499,1217567720510033920,28,0.6550837496670142,walking_double_support_percentage_min
524,1220647683502927872,28,0.8454060700473254,walking_double_support_percentage_min
525,1220912304240271360,0,0.6368740876092458,walking_double_support_percentage_min
531,1221045978277421056,7,0.7772732925990399,walking_double_support_percentage_min
532,1221045978277421056,14,0.8609953366891882,walking_double_support_percentage_min
533,1221045978277421056,21,0.8923053969817702,walking_double_support_percentage_min
534,1221045978277421056,28,0.7214347771029692,walking_double_support_percentage_min
540,1222547328535764992,0,0.8276139612875303,walking_double_support_percentage_min
541,1222547328535764992,7,0.6946673645142257,walking_double_support_percentage_min
555,1224898594392580096,0,0.6816497298210856,walking_double_support_percentage_min
567,1225528304685686784,14,0.640814196037329,walking_double_support_percentage_min
580,1226531330060525568,0,0.9416462395829045,walking_double_support_percentage_min
581,1226531330060525568,7,0.9646924502784795,walking_double_support_percentage_min
582,1226531330060525568,14,0.869479537457917,walking_double_support_percentage_min
583,1226531330060525568,21,0.6721546006627053,walking_double_support_percentage_min
587,1226746711007436800,14,0.6875418863074574,walking_double_support_percentage_min
612,1227601813916950528,14,0.8790330272605117,walking_double_support_percentage_min
613,1227601813916950528,21,0.854970687367862,walking_double_support_percentage_min
618,1227677964261728256,21,0.652804626028699,walking_double_support_percentage_min
652,1200753565104091136,14,0.7181497506107171,walking_double_support_percentage_avg
653,1200753565104091136,21,0.7471696478059584,walking_double_support_percentage_avg
654,1200753565104091136,28,0.6247674437160269,walking_double_support_percentage_avg
659,1200788781025734656,28,0.6876622361143359,walking_double_support_percentage_avg
684,1202702106557358080,28,0.6413041391471541,walking_double_support_percentage_avg
705,1205233118415888384,0,0.7987691337262036,walking_double_support_percentage_avg
706,1205233118415888384,7,0.7152310103823407,walking_double_support_percentage_avg
715,1205699344464289792,0,0.7098321759106282,walking_double_support_percentage_avg
716,1205699344464289792,7,0.6558239887453874,walking_double_support_percentage_avg
742,1207326598656700416,14,0.65498655475633,walking_double_support_percentage_avg
743,1207326598656700416,21,0.6941060607074309,walking_double_support_percentage_avg
744,1207326598656700416,28,0.7880146350749999,walking_double_support_percentage_avg
745,1207337368916340736,0,0.6591185359244963,walking_double_support_percentage_avg
784,1215320517226692608,28,0.8920126390293355,walking_double_support_percentage_avg
785,1215604526359937024,0,0.69953740962768,walking_double_support_percentage_avg
786,1215604526359937024,7,0.7571615398518855,walking_double_support_percentage_avg
787,1215604526359937024,14,0.6427464579132837,walking_double_support_percentage_avg
790,1215866445171949568,0,0.7025859879067499,walking_double_support_percentage_avg
801,1217202616284119040,7,0.7660090917890404,walking_double_support_percentage_avg
802,1217202616284119040,14,0.9428594389496492,walking_double_support_percentage_avg
803,1217202616284119040,21,0.8159175200508922,walking_double_support_percentage_avg
808,1217553861704318976,21,0.6479817726783993,walking_double_support_percentage_avg
